impressions,hour,campaign,campaign_id,clicks
133948,2012-09-15 19:00:00,1li95,1101,36
72846,2012-09-14 21:00:00,1de145,1099,53
5495,2012-09-14 21:00:00,1li95,1101,1
750,2012-09-14 14:00:00,1de142,1092,1
4737,2012-09-14 22:00:00,1li95,1101,1
65936,2012-09-15 01:00:00,1de145,1099,57
63821,2012-09-14 18:00:00,1de145,1099,26
23673,2012-09-14 22:00:00,1de145,1099,24
1679,2012-09-15 01:00:00,1li95,1101,2
68041,2012-09-14 19:00:00,1de145,1099,40
5,2012-09-22 11:00:00,1de150,1108,0
845,2012-09-28 01:00:00,1FS1,1107,0
3625,2012-09-28 17:00:00,1de153,1111,5
2894,2012-09-22 03:00:00,1de150,1108,2
1697,2012-09-28 07:00:00,1de153,1111,0
341,2012-09-29 01:00:00,1de153,1111,0
14,2012-09-22 08:00:00,1de150,1108,0
111815,2012-09-22 21:00:00,1FS1,1107,33
781,2012-09-27 22:00:00,1FS1,1107,0
2278,2012-09-22 12:00:00,1de150,1108,1
21,2012-09-28 02:00:00,1de153,1111,0
1579,2012-09-27 05:00:00,1de149,1106,0
7917,2012-09-26 15:00:00,1de149,1106,9
1,2012-09-28 04:00:00,1de153,1111,0
24981,2012-09-27 08:00:00,1de149,1106,13
48744,2012-09-15 19:00:00,1lf10,1102,25
106791,2012-09-20 22:00:00,1de149,1106,75
25264,2012-09-25 22:00:00,1de149,1106,23
1571,2012-09-27 20:00:00,1FS1,1107,1
5713,2012-09-26 08:00:00,1FS1,1107,2
11802,2012-09-26 12:00:00,1de149,1106,5
5947,2012-09-21 16:00:00,1de149,1106,10
96780,2012-09-22 16:00:00,1FS1,1107,19
11610,2012-09-26 10:00:00,1FS1,1107,2
370,2012-09-28 23:00:00,1de153,1111,0
148632,2012-09-22 15:00:00,1FS1,1107,23
63,2012-09-26 05:00:00,1de149,1106,0
0,,1de150,1108,0
176515,2012-09-25 20:00:00,1de149,1106,115
104501,2012-09-21 20:00:00,1FS1,1107,28
11175,2012-09-26 14:00:00,1de149,1106,6
744,2012-09-27 04:00:00,1de149,1106,0
3203,2012-09-29 06:00:00,1de153,1111,2
796,2012-09-26 03:00:00,1de149,1106,2
6721,2012-09-26 00:00:00,1FS1,1107,0
12539,2012-09-26 13:00:00,1de149,1106,6
3676,2012-09-27 13:00:00,1FS1,1107,0
5656,2012-09-27 14:00:00,1de149,1106,3
111,2012-09-22 09:00:00,1de150,1108,0
6013,2012-09-26 07:00:00,1FS1,1107,2
6702,2012-09-27 12:00:00,1de149,1106,7
1013,2012-09-28 00:00:00,1FS1,1107,0
3770,2012-09-25 16:00:00,1de149,1106,2
1450,2012-09-27 15:00:00,1de149,1106,3
5891,2012-09-27 00:00:00,1de149,1106,5
46574,2012-09-26 19:00:00,1de149,1106,38
17784,2012-09-21 12:00:00,1de149,1106,13
699,2012-09-26 04:00:00,1FS1,1107,0
7562,2012-09-27 11:00:00,1de149,1106,2
6561,2012-09-21 22:00:00,1de150,1108,9
31599,2012-09-21 13:00:00,1de149,1106,23
16660,2012-09-25 23:00:00,1FS1,1107,4
1192,2012-09-29 02:00:00,1de153,1111,3
1903,2012-09-26 01:00:00,1de149,1106,1
12467,2012-09-26 16:00:00,1de149,1106,6
57931,2012-09-22 22:00:00,1FS1,1107,8
0,2012-09-29 12:00:00,1de153,1111,0
1203,2012-09-26 02:00:00,1de149,1106,1
3678,2012-09-28 16:00:00,1de153,1111,3
126,2012-09-15 01:00:00,1de146,1103,0
5748,2012-09-28 15:00:00,1de153,1111,6
9607,2012-09-26 09:00:00,1FS1,1107,1
861,2012-09-25 17:00:00,1de149,1106,0
15284,2012-09-21 15:00:00,1de149,1106,3
57965,2012-09-25 18:00:00,1de149,1106,34
194458,2012-09-21 21:00:00,1de149,1106,169
4706,2012-09-21 23:00:00,1de150,1108,5
1282,2012-09-28 05:00:00,1FS1,1107,1
8,2012-09-22 04:00:00,1de150,1108,0
3079,2012-09-28 20:00:00,1de153,1111,1
137,2012-09-28 03:00:00,1de153,1111,1
9894,2012-09-21 17:00:00,1de149,1106,8
45952,2012-09-26 22:00:00,1de149,1106,39
309,2012-09-28 08:00:00,1de153,1111,2
71184,2012-09-15 16:00:00,1lf10,1102,22
1218,2012-09-28 06:00:00,1FS1,1107,0
1034,2012-09-27 02:00:00,1de149,1106,1
1703,2012-09-28 22:00:00,1de153,1111,2
9260,2012-09-21 19:00:00,1de149,1106,4
